id,StateName,clean_energy_commitment,CO2_per_1000_miles,CO2_percent,CO2_emissions,energy_efficency_rank,population,carbon_pollution_reduction_goal_percent,electric_vehicle_goals,CO2_rank,CO2_per_capita,population_percent,clean_energy_target_percent
AL,Alabama,No,2.1,2.1,108.3,[XX] is ranked 43rd by the American Council for an Energy-Efficient Economy.,4877989,No,No,15,22.202,1.483,[XX] does not have a mandatory renewable energy target.
AK,Alaska,No,0.1,0.7,34.1,[XX] is ranked 41st (tied with South Carolina) by the American Council for an Energy-Efficient Economy.,740983,No,No,40,46.02,0.225,[XX] does not have a mandatory renewable energy target.
AS,American Samoa,No,4.7,0.007,0.36,[XX] is not ranked by the American Council for an Energy-Efficient Economy.,55620,No,No,55,6.472,0.0169,[XX] does not have a mandatory renewable energy target.
AZ,Arizona,No,0.8,1.7,85.6,[XX] is ranked 17th by the American Council for an Energy-Efficient Economy.,7048088,[XX] has a nonbinding goal of a 50% reduction in carbon pollution below 2000 levels by 2040.,No,24,12.145,2.143,[XX] has a target of 15% renewable or clean energy by 2025.
AR,Arkansas,No,1.2,1.2,63.9,[XX] is ranked 34th by the American Council for an Energy-Efficient Economy.,3003855,No,No,29,21.273,0.913,[XX] does not have a mandatory renewable energy target.
CA,California,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,2.3,7,358.6,[XX] is ranked 2nd by the American Council for an Energy-Efficient Economy.,39337785,[XX] has a mandatory goal of an 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero vehicle emissions mandate with a target that 22% of all new vehicles will be electric by 2025.,2,9.116,11.962,[XX] has a target of 100% renewable or clean energy by 2045.
CO,Colorado,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,0.8,1.7,87,[XX] is ranked 14th (tied with Maine) by the American Council for an Energy-Efficient Economy.,5617421,[XX] has legislated a goal of 90% reduction in carbon pollution by 2050.,[XX] is adopting a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,23,15.488,1.708,[XX] has a target of 30% renewable or clean energy by 2020.
CT,Connecticut,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,6.9,0.6,33.4,[XX] is ranked 5th by the American Council for an Energy-Efficient Economy.,3575324,[XX] has a nonbinding goal of an 80% reduction in carbon pollution below 2001 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,41,9.342,1.087,[XX] has a target of 44% renewable or clean energy by 2030.
DE,Delaware,No,6.3,0.2,12.3,[XX] is ranked 22nd by the American Council for an Energy-Efficient Economy.,957942,[XX] has a nonbinding goal of a 30% reduction in carbon pollution below 2008 levels by 2030.,[XX] has a low-emissions vehicle program which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,49,12.84,0.291,[XX] has a target of 25% renewable or clean energy by 2026.
DC,District of Columbia,Yes&comma; the District of Columbia has committed in law to 100% clean energy by 2032.,42.6,0.05,2.6,[XX] is ranked 12th (tied with Illinois) by the American Council for an Energy-Efficient Economy.,697079,No,No,53,3.73,0.212,[XX] has a target of 100% renewable or clean energy by 2032
FL,Florida,No,4.2,4.4,226.6,[XX] is ranked 23rd by the American Council for an Energy-Efficient Economy.,20977089,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,No,3,10.802,6.38,[XX] does not have a mandatory renewable energy target.
GA,Georgia,No,2.3,2.6,131.9,[XX] is ranked 38th by the American Council for an Energy-Efficient Economy.,10417031,No,No,11,12.662,3.168,[XX] does not have a mandatory renewable energy target.
GU,Guam,No,10.5,0.043,2.21,[XX] is not ranked by the American Council for an Energy-Efficient Economy.,164281,No,No,54,13.453,0.05,[XX] has a target of 25% renewable or clean energy by 2035.
HI,Hawaii,Yes&comma; Hawaii has committed in law to 100% clean energy by 2045.,2.7,0.3,17.6,[XX] is ranked 16th by the American Council for an Energy-Efficient Economy.,1425763,[XX] has a nonbinding goal to be carbon neutral by 2045.,No,45,12.344,0.434,[XX] has a target of 100% renewable or clean energy by 2045.
ID,Idaho,No,0.2,0.4,18.4,[XX] is ranked 26th (tied with North Carolina and Virginia) by the American Council for an Energy-Efficient Economy.,1719745,No,No,44,10.699,0.523,[XX] does not have a mandatory renewable target.
IL,Illinois,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,3.6,3.9,201.1,[XX] is ranked 12th (tied with the District of Columbia) by the American Council for an Energy-Efficient Economy.,12779893,[XX] has a nonbinding goal of 60% reduction in carbon pollution below 1990 levels by 2050.,No,7,15.736,3.886,[XX] has a target of 25% renewable or clean energy by 2025-2026.
IN,Indiana,No,4.9,3.4,175.8,Your state is ranked 40th by the American Council for an Energy-Efficient Economy.,6662068,No,No,8,26.388,2.026,[XX] has a target of 10% renewable or clean energy by 2025.
IA,Iowa,No,1.4,1.5,76.3,[XX] is ranked 24th by the American Council for an Energy-Efficient Economy.,3143734,No,No,26,24.271,0.956,[XX] has a target of 105 MW of electricity from renewable energy sources&comma; but generates a far larger amount of renewable energy.
KS,Kansas,No,0.7,1.1,57.9,[XX] is ranked 46th (tied with Louisiana and South Dakota) by the American Council for an Energy-Efficient Economy.,2910892,No,No,32,19.891,0.885,[XX] has a target of 20% renewable or clean energy by 2020.
KY,Kentucky,No,2.9,2.2,113.6,[XX] is ranked 29th (tied with Nevada&comma; Ohio&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.,4455590,No,No,14,25.496,1.355,[XX] does not have a mandatory renewable energy target.
LA,Louisiana,No,5.2,4.4,226.4,[XX] is ranked 46th (tied with Kansas and South Dakota) by the American Council for an Energy-Efficient Economy.,4673673,No,No,4,48.442,1.421,[XX] does not have a mandatory renewable energy target.
ME,Maine,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,0.5,0.3,15.4,[XX] is ranked 14th (tied with Colorado) by the American Council for an Energy-Efficient Economy.,1335743,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 2003 levels.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,46,11.529,0.406,[XX] establsihed a target of 40% renewable or clean energy by 2017.*
MD,Maryland,No,5.3,1,51.6,[XX] is ranked 10th by the American Council for an Energy-Efficient Economy.,6028186,[XX] has a nonbinding goal of 40% reduction in carbon pollution below 2006 levels by 2030.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,35,8.56,1.833,[XX] has a target of 25% renewable or clean energy by 2020.
MA,Massachusetts,No,8.1,1.2,63.3,[XX] is ranked 1st by the American Council for an Energy-Efficient Economy.,6863560,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,30,9.223,2.087,[XX] has a target of 35% renewable or clean energy by 2030.
MI,Michigan,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,2.7,2.9,151.8,[XX] is ranked 11th by the American Council for an Energy-Efficient Economy.,9976752,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2005 levels by 2050.,No,10,15.215,3.034,[XX] has a target of 35% renewable or clean energy by 2025.
MN,Minnesota,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,1.1,1.7,87.9,[XX] is ranked 8th by the American Council for an Energy-Efficient Economy.,5569283,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2005 levels by 2050.,No,22,15.783,1.694,[XX] has a target of 25% renewable or clean energy by 2025.
MS,Mississippi,No,1.4,1.3,67.4,[XX] is ranked 44th (tied with Nebraska) by the American Council for an Energy-Efficient Economy.,2990674,No,No,28,22.537,0.909,[XX] does not have a mandatory renewable energy target.
MO,Missouri,No,1.8,2.4,122.4,[XX] is ranked 33rd by the American Council for an Energy-Efficient Economy.,6111382,No,No,12,20.028,1.858,[XX] has a target of 15% renewable or clean energy by 2021.
MT,Montana,No,0.2,0.6,30.3,[XX] is ranked 37th by the American Council for an Energy-Efficient Economy.,1053862,No,No,42,28.751,0.32,[XX] has a target of 15% renewable or clean energy by 2015.
NE,Nebraska,No,0.6,0.9,47.7,[XX] is ranked 44th (tied with Mississippi) by the American Council for an Energy-Efficient Economy.,1916998,No,No,36,24.883,0.583,[XX] does not have a mandatory renewable energy target.
NV,Nevada,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,0.3,0.7,36.2,[XX] is ranked 29th (tied with Kentucky&comma; Ohio&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.,2972097,No,No,39,12.18,0.904,[XX] has a target of 50% renewable or clean energy by 2030.
NH,New Hampshire,No,1.5,0.3,13.4,[XX] is ranked 21st by the American Council for an Energy-Efficient Economy.,1350395,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 1990 levels by 2050.,No,48,9.923,0.411,[XX] has a target of 25.2% renewable or clean energy by 2025.
NJ,New Jersey,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,13.7,2,101,[XX] is ranked 18th (tied with Pennsylvania) by the American Council for an Energy-Efficient Economy.,8888147,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2006 levels by 2050.,New Jersey has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,16,11.363,2.703,[XX] has a target of 50% renewable or clean energy by 2030.
NM,New Mexico,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,0.4,0.9,48.7,[XX] is ranked 36th by the American Council for an Energy-Efficient Economy.,2092844,[XX] has a nonbinding goal of a 45% reduction in carbon pollution below 2005 levels by 2030.,No,37,23.27,0.636,[XX] has a target of 100% renewable or clean energy by 2045.
NY,New York,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,3.3,3,156.7,[XX] is ranked 6th by the American Council for an Energy-Efficient Economy.,19593849,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,9,7.997,5.958,[XX] has a target of 50% renewable or clean energy by 2030.
NC,North Carolina,No,2.4,2.2,115,[XX] is ranked 26th (tied with Idaho and Virginia) by the American Council for an Energy-Efficient Economy.,10275758,[XX] has a nonbinding goal of a 40% reduction in carbon pollution below 2005 levels by 2025.,No,13,11.191,3.125,[XX] has a target of 12.5% renewable or clean energy by 2021.
ND,North Dakota,No,0.8,1.1,56.2,[XX] is ranked 49th (tied with West Virginia) by the American Council for an Energy-Efficient Economy.,756755,No,No,34,74.264,0.23,[XX] has a target of 10% renewable or clean energy by 2015.*
MP,Northern Mariana Islands,No,No data,No data,No data,[XX] is not ranked by the American Council for an Energy-Efficient Economy.,56562,No,No,,No data,0.0172,[XX] has a target of 20% renewable or clean energy by 2016.*
OH,Ohio,No,5,4,204.3,[XX] is ranked 29th (tied with Kentucky&comma; Nevada&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.,11665706,No,No,6,17.513,3.548,[XX] has a target of 12.5% renewable or clean energy by 2026.
OK,Oklahoma,No,1.4,1.8,92.7,[XX] is ranked 39th by the American Council for an Energy-Efficient Economy.,3933602,No,No,20,23.566,1.196,[XX] has a target of 15% renewable or clean energy by 2015. *
OR,Oregon,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,0.4,0.7,38.3,[XX] is ranked 7th by the American Council for an Energy-Efficient Economy.,4147294,[XX] has a nonbinding goal of a 75% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,38,9.235,1.261,[XX] has a target of 50% renewable or clean energy by 2040.
PA,Pennsylvania,No,4.8,4.2,215.3,[XX] is ranked 18th (tied with New Jersey) by the American Council for an Energy-Efficient Economy.,12794679,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 2005 levels by 2025.,[XX] has low-emissions vehicle program&comma; which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,5,16.827,3.891,[XX] has a target of 18% renewable or clean energy by 2021.
PR,Puerto Rico,Yes&comma; [XX] has committed in law to 100% clean energy by 2050.,5.8,0.4,19.8,[XX] is not ranked by the American Council for an Energy-Efficient Economy.,3337000,No,No,43,5.933,1.015,[XX] has a target of 100% renewable or clean energy by 2050.
RI,Rhode Island,No,9.7,0.2,10,[XX] is ranked 3rd by the American Council for an Energy-Efficient Economy.,1056554,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,50,9.465,0.321,[XX] has a target of 38.5% renewable or clean energy by 2035.
SC,South Carolina,No,2.3,1.4,68.8,[XX] is ranked 41st (tied with Alaska) by the American Council for an Energy-Efficient Economy.,5027102,No,No,27,13.686,1.529,[XX] has a target of 2% renewable or clean energy by 2021.
SD,South Dakota,No,0.2,0.3,14.5,[XX] is ranked 46th (tied with Kansas and Louisiana) by the American Council for an Energy-Efficient Economy.,873732,No,No,47,16.595,0.266,[XX] has a target of 10% renewable or clean energy by 2015.*
TN,Tennessee,No,2.4,1.9,97.6,[XX] is ranked 35th by the American Council for an Energy-Efficient Economy.,6714748,No,No,18,14.535,2.042,[XX] does not have a mandatory renewable energy target
TX,Texas,No,2.7,13.7,706.5,[XX] is ranked 25th by the American Council for an Energy-Efficient Economy.,28291024,No,No,1,24.973,8.603,[XX] has a target of 10&comma;000 MW of renewable energy capacity by 2025.
VI,US Virgin Islands,No,,,,[XX] is not ranked by the American Council for an Energy-Efficient Economy.,,No,No,,,,[XX] has a target of 51% renewable or clean energy by 2025.
UT,Utah,No,0.7,1.1,58.2,[XX] is ranked 20th by the American Council for an Energy-Efficient Economy.,3103540,No,No,33,18.753,0.944,[XX] has a target of 20% renewable or clean energy by 2025.
VT,Vermont,No,0.6,0.1,5.8,[XX] is ranked 4th by the American Council for an Energy-Efficient Economy.,625132,[XX] has a nonbinding goal of a 90% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,51,9.278,0.19,[XX] has a target of 75% renewable or clean energy by 2032.
VA,Virginia,No,2.5,1.9,97.9,[XX] is ranked 26th (tied with Idaho and North Carolina) by the American Council for an Energy-Efficient Economy.,8471011,No,No,17,11.557,2.576,[XX] has a target of 15% renewable or clean energy by 2025.
WA,Washington,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,1.2,1.5,78.2,[XX] is ranked 9th by the American Council for an Energy-Efficient Economy.,7427951,[XX] has a nonbinding goal of a 50% reduction in carbon pollution below 1990 levels by 2050.,[XX] has low-emissions vehicle program&comma; which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,25,10.528,2.259,[XX] has target of 100% clean energy by 2045.
WV,West Virginia,No,3.8,1.8,90.8,[XX] is ranked 49th (tied with North Dakota) by the American Council for an Energy-Efficient Economy.,1818683,No,No,21,49.926,0.553,[XX] has a target of 25% renewable or clean energy by 2025.
WI,Wisconsin,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,1.8,1.9,97.6,[XX] is ranked 29th (tied with Kentucky&comma; Nevada&comma; and Ohio) by the American Council for an Energy-Efficient Economy.,5793147,No,No,19,16.847,1.762,[XX] has a target of 10% renewable or clean energy by 2015.
WY,Wyoming,No,0.6,1.2,60.6,[XX]is ranked 51st by the American Council for an Energy-Efficient Economy.,579994,No,No,31,104.484,0.176,[XX] does not have a mandatory renewable energy target.